"","LGK","PyKS","DXS","rocker","SUMO1","HA","UBE2I","TPK1","Bgl3","GB1"
"t",7.00094596952772,17.8205237089669,43.2586672618372,97.4038329351475,114.13968843917,29.0476065519368,89.021417784416,107.697001246536,104.248314366391,923.214447812749
"p",3.0816705015597e-10,1.17476498831183e-32,4.1538355464861e-66,3.95356102298762e-100,6.91198836388305e-107,3.00345016865283e-50,2.6470432558052e-96,2.07924592572034e-104,5.07126225043225e-103,1.31685855994904e-196
"mean_diff",0.000241300822297323,0.000491946914800023,0.00268985177901166,0.0102003385565166,0.00700671844256292,0.00183045936306765,0.00321594667366344,0.00279691000095982,0.0166944566130997,0.00474626230139169
